name,maker,itype,cat,effect,ings,symptoms,note
新ビオフェルミンS錠,ビオフェルミン製薬,designated_quasi,stomach,整腸(便通を整える)。腹部膨満感。軟便。便秘。,ビフィズス菌;フェーカリス菌;アシドフィルス菌,整腸;便秘;下痢,※要確認: 成分・分量はメーカー公式で確認のうえ「成分名(分量)」形式に修正
ビオスリーHi錠,アリナミン製薬,designated_quasi,stomach,整腸(便通を整える)。腹部膨満感。軟便。便秘。,酪酸菌;ラクトミン;糖化菌,整腸;便秘;下痢,※要確認: 成分・分量はメーカー公式で確認
リポビタンD,大正製薬,designated_quasi,vitamin,肉体疲労時の栄養補給。滋養強壮。,タウリン;イノシトール;ビタミンB1;ビタミンB2;ビタミンB6,肉体疲労,※要確認: 分量(タウリン1000mg等)を公式で確認
エスカップ,エスエス製薬,designated_quasi,vitamin,肉体疲労時の栄養補給。滋養強壮。,タウリン;ビタミンB1;ビタミンB2;ビタミンB6,肉体疲労,※要確認
チオビタ・ドリンク,大鵬薬品工業,designated_quasi,vitamin,肉体疲労時の栄養補給。滋養強壮。,タウリン;ビタミンB1;ビタミンB2;ビタミンB6,肉体疲労,※要確認
ヴイックス メディケイテッド ドロップ,大正製薬,designated_quasi,oral,のどの炎症による声がれ・のどのあれ・のどの不快感の緩和。口腔内の殺菌・消毒。,セチルピリジニウム塩化物水和物,のどの炎症;口腔殺菌,※要確認
メラノCC 薬用しみ集中対策美容液,ロート製薬,quasi,quasi_skin,メラニンの生成を抑え、しみ・そばかすを防ぐ。ニキビを防ぐ。,アスコルビン酸(活性型ビタミンC);トコフェロール酢酸エステル;グリチルリチン酸ジカリウム,シミ・そばかす;にきび,※要確認: 医薬部外品(薬用化粧品)
肌ラボ 白潤プレミアム 薬用浸透美白化粧水,ロート製薬,quasi,quasi_skin,メラニンの生成を抑え、しみ・そばかすを防ぐ。,トラネキサム酸;グリチルリチン酸ジカリウム,シミ・そばかす;肌荒れ,※要確認
キュレル 潤浸保湿 フェイスクリーム,花王,quasi,quasi_skin,肌荒れ・カサつきを防ぐ。,グリチルリチン酸ジカリウム,乾燥肌;肌荒れ,※要確認: 医薬部外品(セラミド機能成分は有効成分外)
ちふれ 美白化粧水 W,ちふれ化粧品,quasi,quasi_skin,メラニンの生成を抑え、しみ・そばかすを防ぐ。,アルブチン;安定型ビタミンC誘導体,シミ・そばかす,※要確認
薬用リステリン トータルケアプラス,ケンビュー,quasi,quasi_oral,口臭・歯肉炎・歯垢の沈着を防ぐ。口中を浄化する。,イソプロピルメチルフェノール;塩化亜鉛,口腔殺菌;口内炎,※要確認
スカルプD 薬用スカルプシャンプー,アンファー,quasi,quasi_hair,ふけ・かゆみを防ぐ。毛髪・頭皮を清浄にする。,ピロクトンオラミン;グリチルリチン酸ジカリウム,薄毛・脱毛;かゆみ,※要確認
